,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
265,Jared Goff,Alvin Kamara,Nick Chubb,Michael Thomas,Tre'Quan Smith,Marvin Jones,David Njoku,Kareem Hunt,Denver Broncos,152.604,49500
266,Jared Goff,Alvin Kamara,Kareem Hunt,Courtland Sutton,Adam Thielen,Tre'Quan Smith,David Njoku,Sammy Watkins,Denver Broncos,152.56400000000005,49800
267,Jared Goff,Alvin Kamara,Kareem Hunt,Courtland Sutton,DeAndre Hopkins,Tre'Quan Smith,David Njoku,Kenny Golladay,Denver Broncos,152.51400000000004,49800
268,Jared Goff,Alvin Kamara,Nick Chubb,DeAndre Hopkins,Tre'Quan Smith,Sammy Watkins,David Njoku,Kareem Hunt,Denver Broncos,152.45400000000004,49800
269,Cam Newton,Nick Chubb,Todd Gurley,Courtland Sutton,Adam Thielen,Tre'Quan Smith,David Njoku,Marvin Jones,Denver Broncos,152.38600000000002,49800
270,Jared Goff,Alvin Kamara,Kareem Hunt,Michael Thomas,Courtland Sutton,Marvin Jones,David Njoku,Sammy Watkins,Denver Broncos,152.26400000000004,49600
271,Patrick Mahomes,Nick Chubb,Todd Gurley,Michael Thomas,Courtland Sutton,Kenny Golladay,David Njoku,Sammy Watkins,Denver Broncos,152.22600000000003,49900
272,Jared Goff,Adrian Peterson,Todd Gurley,Michael Thomas,Courtland Sutton,Tre'Quan Smith,David Njoku,Kenny Golladay,Denver Broncos,152.14400000000003,49600
273,Jared Goff,Nick Chubb,Todd Gurley,Michael Thomas,Courtland Sutton,Tre'Quan Smith,Travis Kelce,Marvin Jones,Denver Broncos,152.144,49900
274,Cam Newton,Nick Chubb,Todd Gurley,Michael Thomas,Tre'Quan Smith,Kenny Golladay,David Njoku,Sammy Watkins,Denver Broncos,152.136,49700
275,Jared Goff,Nick Chubb,Todd Gurley,Courtland Sutton,Emmanuel Sanders,DeAndre Hopkins,David Njoku,Tre'Quan Smith,Denver Broncos,152.12400000000002,49700
276,Jared Goff,Adrian Peterson,Nick Chubb,Michael Thomas,Tre'Quan Smith,Sammy Watkins,David Njoku,Todd Gurley,Denver Broncos,152.08400000000003,49600
277,Jared Goff,Alvin Kamara,Nick Chubb,Courtland Sutton,DeAndre Hopkins,Sammy Watkins,David Njoku,Kareem Hunt,Denver Broncos,152.00400000000005,49500
278,Jared Goff,Nick Chubb,Todd Gurley,Michael Thomas,Courtland Sutton,Tre'Quan Smith,David Njoku,Marvin Jones,Chicago Bears,151.97400000000002,49700
279,Patrick Mahomes,Nick Chubb,Todd Gurley,Michael Thomas,Tre'Quan Smith,Marvin Jones,David Njoku,Sammy Watkins,Denver Broncos,151.94600000000003,50000
280,Cam Newton,Nick Chubb,Todd Gurley,Courtland Sutton,DeAndre Hopkins,Marvin Jones,David Njoku,Sammy Watkins,Denver Broncos,151.936,49900
281,Jared Goff,Nick Chubb,Todd Gurley,Courtland Sutton,DeAndre Hopkins,Tre'Quan Smith,David Njoku,Sammy Watkins,Chicago Bears,151.824,50000
282,Patrick Mahomes,Nick Chubb,Todd Gurley,Courtland Sutton,Adam Thielen,Tre'Quan Smith,David Njoku,Sammy Watkins,Denver Broncos,151.79600000000002,49900
283,Jared Goff,Alvin Kamara,Kareem Hunt,Courtland Sutton,DeAndre Hopkins,Tre'Quan Smith,David Njoku,Marvin Jones,Denver Broncos,151.78400000000002,49600
284,Patrick Mahomes,Nick Chubb,Todd Gurley,Courtland Sutton,DeAndre Hopkins,Tre'Quan Smith,David Njoku,Kenny Golladay,Denver Broncos,151.746,49900
285,Jared Goff,Nick Chubb,Todd Gurley,Michael Thomas,Courtland Sutton,Sammy Watkins,David Njoku,Travis Kelce,Denver Broncos,151.56400000000002,49900
286,Patrick Mahomes,Nick Chubb,Todd Gurley,Michael Thomas,Courtland Sutton,Marvin Jones,David Njoku,Sammy Watkins,Denver Broncos,151.49600000000004,49700
287,Cam Newton,Nick Chubb,Todd Gurley,Michael Thomas,Tre'Quan Smith,Marvin Jones,David Njoku,Sammy Watkins,Denver Broncos,151.406,49500
288,Jared Goff,Adrian Peterson,Todd Gurley,Courtland Sutton,DeAndre Hopkins,Tre'Quan Smith,David Njoku,Sammy Watkins,Denver Broncos,151.264,49700
289,Jared Goff,Nick Chubb,Todd Gurley,Courtland Sutton,Adam Thielen,Marvin Jones,David Njoku,Sammy Watkins,Denver Broncos,151.12400000000002,49900
290,Jared Goff,Nick Chubb,Todd Gurley,Courtland Sutton,DeAndre Hopkins,Tre'Quan Smith,David Njoku,Travis Kelce,Denver Broncos,151.084,49900
291,Jared Goff,Nick Chubb,Todd Gurley,Courtland Sutton,DeAndre Hopkins,Kenny Golladay,David Njoku,Marvin Jones,Denver Broncos,151.074,49900
292,Patrick Mahomes,Nick Chubb,Todd Gurley,Courtland Sutton,DeAndre Hopkins,Tre'Quan Smith,David Njoku,Marvin Jones,Denver Broncos,151.016,49700
293,Jared Goff,Nick Chubb,Todd Gurley,Michael Thomas,Courtland Sutton,Tre'Quan Smith,Travis Kelce,Sammy Watkins,Denver Broncos,151.014,49500
294,Jared Goff,Nick Chubb,Todd Gurley,Michael Thomas,Tre'Quan Smith,Kenny Golladay,David Njoku,Marvin Jones,Denver Broncos,150.544,49500
295,Jared Goff,Nick Chubb,Todd Gurley,DeAndre Hopkins,Tre'Quan Smith,Kenny Golladay,David Njoku,Sammy Watkins,Denver Broncos,150.39400000000003,49800
296,Jared Goff,Nick Chubb,Todd Gurley,Courtland Sutton,DeAndre Hopkins,Kenny Golladay,David Njoku,Sammy Watkins,Denver Broncos,149.94400000000002,49500
297,Jared Goff,Nick Chubb,Todd Gurley,DeAndre Hopkins,Tre'Quan Smith,Marvin Jones,David Njoku,Sammy Watkins,Denver Broncos,149.66400000000002,49600
