,Player,Position,Salary,DK_Points,DK_Value,Points Rank,Value Rank,FPTS,%Drafted,Real_Value
65,Boston Scott,RB,4000,8.51,470.0352526439483,25,26,7.9,1.82,506.3291139240506
66,Myles Gaskin,RB,3800,7.880000000000001,482.23350253807104,29,27,12.8,0.13,296.875
67,Kareem Hunt,RB,5500,10.9,504.58715596330285,23,28,7.3,1.3,753.4246575342466
68,Kerryon Johnson,RB,4900,8.42,581.9477434679335,26,29,5.3,0.25,924.5283018867924
69,Nyheim Hines,RB,4400,7.5,586.6666666666666,31,30,13.6,0.01,323.5294117647059
70,J.D. McKissic,RB,3200,5.19,616.5703275529862,36,31,0.0,0.01,9999.0
71,Giovani Bernard,RB,4100,6.25,656.0,33,32,3.5,0.17,1171.4285714285713
72,Latavius Murray,RB,5100,7.73,659.7671410090555,30,33,4.5,0.21,1133.3333333333333
73,Jaylen Samuels,RB,4000,6.0,666.6666666666666,34,34,7.9,0.01,506.3291139240506
74,Wes Hills,RB,3900,5.75,678.2608695652174,35,35,0.0,0.06,9999.0
75,C.J. Prosise,RB,3400,4.62,735.930735930736,40,36,0.0,0.0,9999.0
76,David Johnson,RB,4700,6.380000000000001,736.6771159874608,32,37,1.7,0.02,2764.7058823529414
77,Ty Johnson,RB,3100,4.09,757.9462102689488,42,38,2.0,0.01,1550.0
78,Brian Hill,RB,3900,4.800000000000002,812.4999999999999,38,39,0.0,0.0,9999.0
79,Gus Edwards,RB,4200,4.8900000000000015,858.8957055214723,37,40,8.3,0.03,506.0240963855421
80,Dion Lewis,RB,4300,4.73,909.090909090909,39,41,9.7,69.99,443.298969072165
81,Justin Jackson,RB,3000,3.24,925.9259259259261,46,42,0.0,0.0,9999.0
82,Tony Pollard,RB,4500,4.53,993.3774834437088,41,43,-1.0,0.06,9999.0
83,Jordan Wilkins,RB,4100,3.81,1076.1154855643044,43,44,14.4,0.01,284.72222222222223
84,Ty Montgomery,RB,4000,3.6,1111.1111111111113,44,45,1.8,0.01,2222.222222222222
85,Bilal Powell,RB,3600,3.2,1125.0,47,46,0.0,0.0,9999.0
86,Javorius Allen,RB,3200,2.76,1159.4202898550725,48,47,0.0,0.0,9999.0
87,Bo Scarbrough,RB,4000,3.27,1223.2415902140672,45,48,3.4,0.01,1176.4705882352941
88,Qadree Ollison,RB,3000,2.35,1276.5957446808507,52,49,6.3,0.03,476.19047619047615
89,Josh Ferguson,RB,3000,2.2700000000000005,1321.5859030837005,53,50,0.0,0.0,9999.0
90,Jonathan Williams,RB,3500,2.42,1446.280991735537,50,51,0.0,0.01,9999.0
91,Ryquell Armstead,RB,3900,2.64,1477.2727272727273,49,52,0.0,0.0,9999.0
93,Justice Hill,RB,3100,1.91,1623.03664921466,55,54,0.0,0.0,9999.0
94,Alec Ingold,RB,3000,1.7600000000000002,1704.5454545454545,57,55,0.0,0.0,9999.0
95,Jay Ajayi,RB,3000,1.69,1775.1479289940826,58,56,0.0,0.0,9999.0
96,Chase Edmonds,RB,3500,1.93,1813.4715025906733,54,57,0.0,0.02,9999.0
97,Kenjon Barner,RB,3000,1.6,1875.0,59,58,0.0,0.0,9999.0
98,Devontae Booker,RB,3000,1.6,1875.0,60,59,0.0,0.0,9999.0
99,Benny Snell Jr.,RB,4800,2.39,2008.36820083682,51,60,1.4,0.01,3428.571428571429
