,Player,Position,Salary,DK_Points,DK_Value,Points Rank,Value Rank,FPTS,%Drafted,Real_Value
142,Tim Patrick,WR,3000,6.18,485.4368932038835,52,35,1.3,12.88,2307.692307692308
143,D.K. Metcalf,WR,6300,12.910000000000002,487.993803253292,23,36,6.5,1.69,969.2307692307692
144,Nelson Agholor,WR,4100,8.14,503.6855036855037,44,37,0.0,0.01,9999.0
145,Marvin Jones,WR,6100,12.07,505.38525269262635,25,38,9.6,1.66,635.4166666666667
146,Sterling Shepard,WR,4900,9.46,517.9704016913319,33,39,8.7,1.27,563.2183908045978
147,Hunter Renfrow,WR,4500,8.68,518.4331797235023,41,40,6.1,2.48,737.704918032787
148,A.J. Brown,WR,4700,9.04,519.9115044247789,36,41,26.5,0.14,177.35849056603774
149,Albert Wilson,WR,3200,6.15,520.3252032520325,53,42,9.7,0.82,329.89690721649487
150,Curtis Samuel,WR,5400,10.260000000000002,526.3157894736842,28,43,5.9,0.49,915.2542372881356
151,Adam Humphries,WR,3900,7.26,537.1900826446281,46,44,5.0,0.16,780.0
152,Randall Cobb,WR,4800,8.91,538.7205387205387,38,45,12.6,1.14,380.9523809523809
153,Anthony Miller,WR,3500,6.4,546.875,50,46,13.7,1.4,255.47445255474452
154,Robby Anderson,WR,4800,8.71,551.0907003444316,40,47,18.6,0.8,258.06451612903226
155,Danny Amendola,WR,4400,7.82,562.6598465473146,45,48,5.1,0.65,862.7450980392157
156,N'Keal Harry,WR,3300,5.859999999999999,563.1399317406144,55,49,8.0,33.98,412.5
157,Diontae Johnson,WR,5100,9.05,563.5359116022098,35,50,5.9,0.81,864.4067796610168
158,Darius Slayton,WR,5300,9.4,563.8297872340428,34,51,10.7,0.37,495.3271028037384
159,Ted Ginn,WR,4000,6.74,593.4718100890208,48,52,5.8,0.36,689.6551724137931
160,Breshad Perriman,WR,3200,5.26,608.3650190114067,59,53,5.4,0.01,592.5925925925926
161,Jakeem Grant,WR,3700,6.01,615.6405990016639,54,54,0.0,0.03,9999.0
162,Josh Gordon,WR,4200,6.7200000000000015,624.9999999999999,49,55,2.0,1.43,2100.0
163,Jakobi Meyers,WR,3000,4.75,631.578947368421,64,56,11.4,2.31,263.1578947368421
164,Trey Quinn,WR,3600,5.600000000000001,642.8571428571427,57,57,0.0,0.13,9999.0
165,Phillip Dorsett,WR,4100,6.24,657.051282051282,51,58,0.0,0.02,9999.0
166,Isaiah McKenzie,WR,3200,4.83,662.5258799171842,63,59,2.8,0.03,1142.857142857143
167,Kelvin Harmon,WR,3300,4.94,668.0161943319839,60,60,7.3,0.02,452.054794520548
168,Justin Hardy,WR,3300,4.85,680.4123711340206,62,61,0.0,0.01,9999.0
169,Zay Jones,WR,3400,4.92,691.0569105691056,61,62,2.5,0.23,1360.0
170,Paul Richardson,WR,4000,5.75,695.6521739130435,56,63,1.6,0.11,2500.0
171,Tajae Sharpe,WR,3000,4.29,699.3006993006993,68,64,0.0,0.0,9999.0
172,Tre'Quan Smith,WR,3400,4.67,728.051391862955,65,65,8.3,0.03,409.63855421686736
173,Johnny Holton,WR,3300,4.370000000000001,755.1487414187642,67,66,0.0,0.04,9999.0
174,Auden Tate,WR,4100,5.27,777.988614800759,58,67,2.0,0.23,2050.0
175,Keelan Cole,WR,3500,4.460000000000001,784.7533632286992,66,68,3.8,0.03,921.0526315789474
176,Jarius Wright,WR,3000,3.76,797.8723404255321,71,69,1.4,0.01,2142.857142857143
177,Rashard Higgins,WR,3300,4.11,802.9197080291971,69,70,0.0,0.05,9999.0
178,Tevin Jones,WR,3000,3.52,852.2727272727273,73,71,1.9,0.0,1578.947368421053
179,David Moore,WR,3200,3.6600000000000006,874.3169398907103,72,72,4.5,0.03,711.1111111111112
180,Vyncint Smith,WR,3000,3.02,993.3774834437088,74,73,0.0,0.0,9999.0
181,Christian Blake,WR,3000,2.9800000000000004,1006.7114093959732,75,74,0.0,0.0,9999.0
182,Kalif Raymond,WR,3000,2.74,1094.890510948905,78,75,0.0,0.0,9999.0
183,Jordan Matthews,WR,3500,2.9000000000000004,1206.8965517241377,76,76,5.7,12.5,614.0350877192983
184,DaeSean Hamilton,WR,3400,2.8,1214.2857142857147,77,77,0.0,0.0,9999.0
185,Marvin Hall,WR,3000,2.46,1219.5121951219512,79,78,0.0,0.0,9999.0
186,Robert Foster,WR,3000,2.42,1239.6694214876034,80,79,5.6,0.01,535.7142857142858
187,Steven Sims,WR,3000,2.29,1310.043668122271,81,80,6.0,0.0,500.0
188,Bennie Fowler,WR,3000,2.26,1327.4336283185844,82,81,0.0,0.0,9999.0
189,Mohamed Sanu,WR,5500,3.99,1378.4461152882204,70,82,0.0,0.01,9999.0
190,Keelan Doss,WR,3000,2.06,1456.3106796116504,83,83,0.0,0.0,9999.0
191,Cody Latimer,WR,3000,1.94,1546.3917525773197,84,84,1.7,0.0,1764.7058823529412
192,Tavon Austin,WR,3000,1.87,1604.2780748663104,86,85,0.0,0.0,9999.0
