,Unnamed: 0,Unnamed: 0.1,Position,Name + ID,Player,ID,Roster Position,Salary,Game Info,Team,AvgPointsPerGame
177,177,177,RB,Buddy Howell (16006278) (LOCKED),Buddy Howell,16006278.0,RB/FLEX,4000.0,Final,HOU,1.54
178,178,178,RB,C.J. Prosise (16006280) (LOCKED),CJ Prosise,16006280.0,RB/FLEX,4000.0,Final,HOU,2.74
179,179,179,RB,Scottie Phillips (16006282) (LOCKED),Scottie Phillips,16006282.0,RB/FLEX,4000.0,Final,HOU,2.6
180,180,180,RB,Dontrell Hilliard (16006284) (LOCKED),Dontrell Hilliard,16006284.0,RB/FLEX,4000.0,Final,HOU,1.5
181,181,181,RB,Dare Ogunbowale (16006260) (LOCKED),Dare Ogunbowale,16006260.0,RB/FLEX,4000.0,Final,JAC,2.08
182,182,182,RB,Devine Ozigbo (16006262) (LOCKED),Devine Ozigbo,16006262.0,RB/FLEX,4000.0,Final,JAC,2.22
183,183,183,RB,Nathan Cottrell (16006264) (LOCKED),Nathan Cottrell,16006264.0,RB/FLEX,4000.0,Final,JAC,0.0
184,184,184,RB,Ryquell Armstead (16006266) (LOCKED),Ryquell Armstead,16006266.0,RB/FLEX,4000.0,Final,JAC,0.0
185,185,185,RB,Chris Thompson (16006268) (LOCKED),Chris Thompson,16006268.0,RB/FLEX,4000.0,Final,JAC,7.1
186,186,186,RB,Ryan Nall (16006270) (LOCKED),Ryan Nall,16006270.0,RB/FLEX,4000.0,Final,CHI,2.3
187,187,187,RB,Artavis Pierce (16006272) (LOCKED),Artavis Pierce,16006272.0,RB/FLEX,4000.0,Final,CHI,3.17
188,188,188,RB,Tarik Cohen (16006274) (LOCKED),Tarik Cohen,16006274.0,RB/FLEX,4000.0,Final,CHI,5.83
189,189,189,WR,Darnell Mooney (16006426) (LOCKED),Darnell Mooney,16006426.0,WR/FLEX,4000.0,Final,CHI,8.79
190,190,190,RB,Rashaad Penny (16006246) (LOCKED),Rashaad Penny,16006246.0,RB/FLEX,4000.0,Final,SEA,0.75
191,191,191,RB,DeeJay Dallas (16006248) (LOCKED),DeeJay Dallas,16006248.0,RB/FLEX,4000.0,Final,SEA,6.32
192,192,192,RB,Travis Homer (16006250) (LOCKED),Travis Homer,16006250.0,RB/FLEX,4000.0,Final,SEA,3.64
193,193,193,RB,Nick Bellore (16006252) (LOCKED),Nick Bellore,16006252.0,RB/FLEX,4000.0,Final,SEA,0.34
194,194,194,RB,Malcolm Brown (16006254) (LOCKED),Malcolm Brown,16006254.0,RB/FLEX,4000.0,Final,LAR,7.15
195,195,195,RB,Xavier Jones (16006256) (LOCKED),Xavier Jones,16006256.0,RB/FLEX,4000.0,Final,LAR,0.0
196,196,196,RB,Raymond Calais (16006258) (LOCKED),Raymond Calais,16006258.0,RB/FLEX,4000.0,Final,LAR,0.0
197,197,197,TE,Tyler Higbee (16006648) (LOCKED),Tyler Higbee,16006648.0,TE/FLEX,4000.0,Final,LAR,8.65
198,198,198,QB,Nate Sudfeld (16006143) (LOCKED),Nate Sudfeld,16006143.0,QB,4000.0,Final,PHI,0.0
199,199,199,QB,Dak Prescott (16006144) (LOCKED),Dak Prescott,16006144.0,QB,4000.0,Final,DAL,30.33
200,200,200,RB,Corey Clement (16006238) (LOCKED),Corey Clement,16006238.0,RB/FLEX,4000.0,Final,PHI,2.13
201,201,201,RB,Jason Huntley (16006240) (LOCKED),Jason Huntley,16006240.0,RB/FLEX,4000.0,Final,PHI,0.47
202,202,202,RB,Rico Dowdle (16006242) (LOCKED),Rico Dowdle,16006242.0,RB/FLEX,4000.0,Final,DAL,0.48
203,203,203,RB,Sewo Olonilua (16006244) (LOCKED),Sewo Olonilua,16006244.0,RB/FLEX,4000.0,Final,DAL,0.0
204,204,204,WR,Greg Ward (16006430) (LOCKED),Greg Ward,16006430.0,WR/FLEX,4000.0,Final,PHI,8.73
205,205,205,WR,Demarcus Robinson (16006432) (LOCKED),Demarcus Robinson,16006432.0,WR/FLEX,3900.0,Final,KC,6.91
206,206,206,WR,Willie Snead IV (16006434) (LOCKED),Willie Snead,16006434.0,WR/FLEX,3900.0,Final,BAL,7.48
207,207,207,TE,Evan Engram (16006650) (LOCKED),Evan Engram,16006650.0,TE/FLEX,3900.0,Final,NYG,9.42
