Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
75,2339577303,mattreitz49,0,181.62,QB Drew Lock RB Dalvin Cook RB Chase Edmonds WR Will Fuller V WR Justin Jefferson FLEX Chase Claypool WR Jerry Jeudy TE Hayden Hurst DST Lions ,,Christian McCaffrey,RB,2.21%,37.1
76,2337525546,bigshow14,0,181.52,QB Kyler Murray RB Dalvin Cook RB Justin Jackson WR Stefon Diggs WR Christian Kirk WR Darnell Mooney TE Darren Waller FLEX Evan Engram DST Vikings ,,Demarcus Robinson,WR,2.12%,11.4
77,2337010342,lewball88,0,181.46,QB Matt Ryan RB Dalvin Cook RB James Robinson WR Julio Jones WR Jerry Jeudy WR John Brown FLEX Darnell Mooney TE T.J. Hockenson DST Giants ,,Robby Anderson,WR,2.00%,15.3
78,2336653094,Remer,0,181.44,QB Justin Herbert RB Christian McCaffrey RB Dalvin Cook WR Jerry Jeudy FLEX Russell Gage WR Darnell Mooney WR Jalen Guyton TE Travis Kelce DST Texans ,,Lions ,DST,1.91%,4
79,2336177073,TwineTickler,0,181.32,QB Drew Lock RB Dalvin Cook RB Josh Jacobs WR Julio Jones FLEX DeVante Parker WR Marvin Jones Jr. WR Jerry Jeudy TE Noah Fant DST Titans ,,Jordan Akins,TE,1.91%,3.9
80,2334341479,alexcampbell33,0,181.14,QB Justin Herbert RB Dalvin Cook RB Josh Jacobs FLEX Stefon Diggs WR Keenan Allen WR Marvin Jones Jr. WR Darnell Mooney TE Irv Smith Jr. DST Vikings ,,Laviska Shenault Jr.,WR,1.83%,0.9
81,2338838444,beaverblaster,0,181.04,QB Justin Herbert RB Dalvin Cook RB Chase Edmonds FLEX D'Andre Swift WR Keenan Allen WR Jerry Jeudy WR John Brown TE Jonnu Smith DST Cardinals ,,Patrick Mahomes,QB,1.72%,33.88
82,2339752487,sirjamesht,0,180.94,QB Deshaun Watson RB Christian McCaffrey RB Dalvin Cook FLEX James Conner WR Marvin Jones Jr. WR Jerry Jeudy WR Demarcus Robinson TE Jonnu Smith DST Vikings ,,Randall Cobb,FLEX,1.71%,5.1
83,2329926985,darjam44,0,180.92,QB Kyler Murray RB Christian McCaffrey RB Dalvin Cook FLEX Clyde Edwards-Helaire WR Sterling Shepard WR Larry Fitzgerald WR Danny Amendola TE Hunter Henry DST Texans ,,DeVante Parker,WR,1.71%,12.4
83,2335517482,Vegas50,0,180.92,QB Kyler Murray RB Christian McCaffrey RB Dalvin Cook FLEX Clyde Edwards-Helaire WR Sterling Shepard WR Larry Fitzgerald WR Danny Amendola TE Hunter Henry DST Texans ,,Mecole Hardman,WR,1.67%,7.8
85,2335039382,Frrststhl,0,180.9,QB Josh Allen RB Dalvin Cook RB James Conner FLEX Chase Edmonds WR Marvin Jones Jr. WR Jerry Jeudy WR John Brown TE Jonnu Smith DST Giants ,,Eric Ebron,TE,1.64%,11.2
86,2338896203,beaglesrun2,0,180.8,QB Josh Allen RB Dalvin Cook FLEX Chase Edmonds RB DeeJay Dallas WR Julio Jones WR Diontae Johnson WR Jerry Jeudy TE Jordan Akins DST Giants ,,David Moore,WR,1.62%,17.1
87,2336743834,dannychang55,0,180.76,QB Matt Ryan RB Christian McCaffrey RB Dalvin Cook FLEX Gus Edwards WR Stefon Diggs WR Jerry Jeudy WR Russell Gage TE Greg Olsen DST Vikings ,,Lamar Jackson,QB,1.60%,18.6
88,2336585063,danhenley,0,180.7,QB Josh Allen RB Dalvin Cook RB Justin Jackson WR Stefon Diggs WR Julio Jones WR David Moore TE Darren Waller FLEX Irv Smith Jr. DST Ravens ,,Tyreek Hill,WR,1.55%,36.1
89,2336869471,PBR_United,0,180.44,QB Deshaun Watson RB Dalvin Cook RB DeeJay Dallas FLEX Keenan Allen WR Allen Robinson II WR Marvin Jones Jr. WR Jerry Jeudy TE Jordan Akins DST Giants ,,Mark Andrews,FLEX,1.43%,5.2
90,2338006556,SteelCity07,0,180.32,QB Drew Lock FLEX Dalvin Cook RB James Conner RB Justin Jackson WR Keenan Allen WR Jerry Jeudy WR John Brown TE Darren Waller DST Giants ,,Steven Sims Jr.,WR,1.41%,1.4
91,2337306753,AudioTsunami,0,180.24,QB Justin Herbert RB Dalvin Cook RB Josh Jacobs FLEX DeeJay Dallas WR Keenan Allen WR Cole Beasley WR Jerry Jeudy TE Hayden Hurst DST Vikings ,,Christian Blake,WR,1.27%,6.1
92,2332257289,turtlenthehouse,0,180.2,QB Josh Allen RB Dalvin Cook FLEX James Robinson RB Chase Edmonds WR Mike Williams WR Jerry Jeudy WR Laviska Shenault Jr. TE Evan Engram DST Giants ,,Corey Davis,WR,1.27%,0
92,2336093225,guerrero21,0,180.2,QB Derek Carr RB Dalvin Cook RB James Robinson FLEX Stefon Diggs WR Tyler Lockett WR Jerry Jeudy WR Curtis Samuel TE Irv Smith Jr. DST Cardinals ,,Dolphins ,DST,1.27%,8
94,2334074149,suprsam,0,179.9,QB Derek Carr RB Dalvin Cook RB James Robinson WR Stefon Diggs FLEX Keenan Allen WR Jerry Jeudy WR Darnell Mooney TE Jordan Akins DST Giants ,,DJ Chark Jr.,WR,1.25%,30.6
94,2338387039,doughboy247,0,179.9,QB Josh Allen RB Dalvin Cook FLEX Chase Edmonds RB DeeJay Dallas WR Julio Jones WR Jerry Jeudy WR Danny Amendola TE Hayden Hurst DST Cardinals ,,Curtis Samuel,WR,1.24%,29.8
96,2339908802,JoeGunderson5,0,179.82,QB Tua Tagovailoa RB Christian McCaffrey RB Phillip Lindsay WR DK Metcalf WR Tyreek Hill WR JuJu Smith-Schuster TE Evan Engram FLEX Jacob Hollister DST Dolphins ,,Tony Pollard,FLEX,1.20%,6.8
97,2336895485,tlw9191,0,179.74,QB Deshaun Watson RB Dalvin Cook RB Chase Edmonds FLEX Justin Jackson WR Tyreek Hill WR Christian Kirk WR Jerry Jeudy TE Trey Burton DST Vikings ,,Ravens ,DST,1.18%,14
97,2338324254,coolhandluke10,0,179.74,QB Deshaun Watson RB Dalvin Cook RB J.K. Dobbins FLEX Wayne Gallman Jr. WR Stefon Diggs WR Curtis Samuel WR Michael Gallup TE Travis Kelce DST Lions ,,Tim Patrick,WR,1.15%,12.9
99,2339743334,rjohnson218,0,179.72,QB Drew Lock RB Dalvin Cook FLEX Chase Edmonds RB DeeJay Dallas WR Stefon Diggs WR Mike Williams WR Jerry Jeudy TE Hayden Hurst DST Cardinals ,,Zack Moss,RB,1.13%,12.8
100,2331558710,Steveo34,0,179.7,QB Russell Wilson RB Dalvin Cook FLEX Melvin Gordon III RB Nyheim Hines WR DK Metcalf WR Christian Kirk WR DJ Chark Jr. TE Hayden Hurst DST Panthers ,,Hunter Renfrow,WR,1.13%,8
100,2338488010,DrBart,0,179.7,QB Josh Allen RB Dalvin Cook RB Clyde Edwards-Helaire FLEX DeeJay Dallas WR Christian Kirk WR Marvin Jones Jr. WR Mike Williams TE Noah Fant DST Ravens ,,Tyler Eifert,TE,1.11%,8.8
102,2335356280,lawman8844,0,179.56,QB Matt Ryan RB Dalvin Cook RB Todd Gurley II WR Julio Jones WR Chase Claypool FLEX Jerry Jeudy WR Zach Pascal TE Evan Engram DST Titans ,,Todd Gurley II,FLEX,1.10%,13.5
103,2334351910,twjacobs75,0,179.54,QB Justin Herbert RB Dalvin Cook RB Chase Edmonds WR Julio Jones WR Keenan Allen FLEX Jerry Jeudy WR Darnell Mooney TE Will Dissly DST Giants ,,Le'Veon Bell,RB,1.04%,1.3
104,2335533464,slimboyfats,0,179.42,QB Drew Lock RB Dalvin Cook RB Chase Edmonds WR Stefon Diggs WR Julio Jones WR Jerry Jeudy FLEX John Brown TE Will Dissly DST Cardinals ,,Matthew Stafford,QB,1.04%,10.44
105,2336310545,Daboonson,0,179.16,QB Jake Luton RB Dalvin Cook FLEX James Robinson RB DeeJay Dallas WR Keenan Allen WR Terry McLaurin WR Sterling Shepard TE Hayden Hurst DST Falcons ,,Jordan Howard,FLEX,1.03%,7.9
106,2339272128,sefuller24,0,179.06,QB Matt Ryan RB Dalvin Cook RB Chase Edmonds WR Julio Jones WR Terry McLaurin WR Jerry Jeudy FLEX Darnell Mooney TE Irv Smith Jr. DST WAS Football Team ,,Greg Olsen,TE,1.01%,3.3
