,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
96,Deshaun Watson,Corey Clement,Alvin Kamara,Julio Jones,Tyler Boyd,Nelson Agholor,Eric Ebron,George Kittle,Minnesota Vikings,143.65800000000002,49800
97,Cam Newton,Corey Clement,Todd Gurley,Julio Jones,Cooper Kupp,Nelson Agholor,Eric Ebron,Giovani Bernard,Dallas Cowboys,143.65400000000002,49900
98,Patrick Mahomes,Corey Clement,Kareem Hunt,Julio Jones,Tyler Boyd,Cooper Kupp,George Kittle,Todd Gurley,Dallas Cowboys,143.65200000000002,49700
99,Deshaun Watson,Corey Clement,Alvin Kamara,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,Giovani Bernard,Minnesota Vikings,143.64800000000002,50000
100,Patrick Mahomes,Corey Clement,Kareem Hunt,Julio Jones,Cooper Kupp,Sammy Watkins,Eric Ebron,Todd Gurley,Dallas Cowboys,143.622,50000
101,Cam Newton,Corey Clement,Kareem Hunt,Julio Jones,Cooper Kupp,Michael Thomas,Eric Ebron,Giovani Bernard,Dallas Cowboys,143.614,49500
102,Matt Ryan,Corey Clement,Latavius Murray,Julio Jones,Cooper Kupp,Nelson Agholor,Eric Ebron,Alvin Kamara,Dallas Cowboys,143.61200000000002,49800
103,Cam Newton,Corey Clement,Kareem Hunt,Julio Jones,Tyler Boyd,Nelson Agholor,George Kittle,Todd Gurley,Dallas Cowboys,143.604,49900
104,Matt Ryan,Kareem Hunt,Todd Gurley,Julio Jones,Tyler Boyd,Nelson Agholor,Eric Ebron,George Kittle,Chicago Bears,143.602,50000
105,Deshaun Watson,Corey Clement,Kareem Hunt,Tyler Boyd,Michael Thomas,Nelson Agholor,Eric Ebron,Todd Gurley,Dallas Cowboys,143.598,49900
106,Matt Ryan,Corey Clement,Kareem Hunt,Julio Jones,Allen Robinson,Keelan Cole,Eric Ebron,Todd Gurley,Dallas Cowboys,143.59200000000004,49700
107,Cam Newton,Corey Clement,Kareem Hunt,Julio Jones,Cooper Kupp,Will Fuller,Eric Ebron,Todd Gurley,Dallas Cowboys,143.584,49800
108,Matt Ryan,Corey Clement,Latavius Murray,Julio Jones,Tyler Boyd,Allen Robinson,Eric Ebron,Alvin Kamara,Minnesota Vikings,143.562,50000
109,Deshaun Watson,Todd Gurley,Giovani Bernard,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,George Kittle,Minnesota Vikings,143.54800000000003,49900
110,Patrick Mahomes,Corey Clement,Todd Gurley,Julio Jones,Tyler Boyd,Nelson Agholor,Eric Ebron,Latavius Murray,Dallas Cowboys,143.54200000000003,49600
111,Deshaun Watson,Corey Clement,Todd Gurley,Julio Jones,Tyler Boyd,Tyreek Hill,Eric Ebron,George Kittle,Dallas Cowboys,143.538,49800
112,Patrick Mahomes,Corey Clement,Todd Gurley,Julio Jones,Nelson Agholor,Allen Robinson,Eric Ebron,George Kittle,Dallas Cowboys,143.53200000000004,50000
113,Matt Ryan,Kareem Hunt,Latavius Murray,Julio Jones,Tyler Boyd,Michael Thomas,Eric Ebron,Tevin Coleman,Dallas Cowboys,143.532,50000
114,Matt Ryan,Todd Gurley,Latavius Murray,Julio Jones,Cooper Kupp,Nelson Agholor,Eric Ebron,George Kittle,Dallas Cowboys,143.51200000000003,49700
115,Matt Ryan,Corey Clement,Latavius Murray,Julio Jones,Tyler Boyd,Cooper Kupp,George Kittle,Michael Thomas,Minnesota Vikings,143.502,50000
116,Patrick Mahomes,Corey Clement,Kareem Hunt,Julio Jones,Michael Thomas,Allen Robinson,Eric Ebron,George Kittle,Dallas Cowboys,143.49200000000002,49600
117,Matt Ryan,Kareem Hunt,Latavius Murray,Julio Jones,Tyler Boyd,Michael Thomas,Eric Ebron,Nelson Agholor,Dallas Cowboys,143.48200000000003,49700
118,Matt Ryan,Todd Gurley,Latavius Murray,Julio Jones,Tyler Boyd,Allen Robinson,Eric Ebron,George Kittle,Minnesota Vikings,143.46200000000002,49900
119,Deshaun Watson,Corey Clement,Tevin Coleman,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,Michael Thomas,Minnesota Vikings,143.45800000000003,49900
120,Matt Ryan,Corey Clement,Alvin Kamara,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,Giovani Bernard,Minnesota Vikings,143.45200000000003,49600
121,Matt Ryan,Kareem Hunt,Todd Gurley,Julio Jones,Tyler Boyd,Cooper Kupp,George Kittle,Latavius Murray,Dallas Cowboys,143.452,49900
122,Cam Newton,Corey Clement,Kareem Hunt,Julio Jones,Michael Thomas,Allen Robinson,Eric Ebron,Giovani Bernard,Dallas Cowboys,143.43400000000003,50000
123,Deshaun Watson,Kareem Hunt,Todd Gurley,Julio Jones,Tyler Boyd,Cooper Kupp,Eric Ebron,Tevin Coleman,Dallas Cowboys,143.40800000000002,49800
124,Matt Ryan,Corey Clement,Kareem Hunt,Tyler Boyd,Michael Thomas,Nelson Agholor,Eric Ebron,Todd Gurley,Dallas Cowboys,143.40200000000002,49500
125,Deshaun Watson,Kareem Hunt,Giovani Bernard,Julio Jones,Cooper Kupp,Michael Thomas,Eric Ebron,George Kittle,Dallas Cowboys,143.37800000000001,49800
126,Matt Ryan,Corey Clement,Kareem Hunt,Julio Jones,Tyler Boyd,Sammy Watkins,Eric Ebron,Alvin Kamara,Minnesota Vikings,143.372,49900
