,QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Points,Salary
19749,Jameis Winston,Todd Gurley,Ezekiel Elliott,Jermaine Kearse,Michael Crabtree,Keelan Cole,Kyle Rudolph,Eric Ebron,Carolina Panthers,141.454,49500
19750,Jameis Winston,Todd Gurley,Ezekiel Elliott,Jermaine Kearse,Michael Crabtree,Cole Beasley,Eric Ebron,Keelan Cole,Carolina Panthers,141.454,49500
19751,Matthew Stafford,Bilal Powell,Todd Gurley,Adam Thielen,Marvin Jones,Keelan Cole,David Njoku,Eric Ebron,Tampa Bay Buccaneers,141.454,49800
19752,Joe Flacco,Todd Gurley,LeSean McCoy,Golden Tate,Robby Anderson,Kenny Golladay,David Njoku,Eric Ebron,Buffalo Bills,141.454,49600
19753,Matthew Stafford,Duke Johnson,Todd Gurley,Michael Crabtree,Keelan Cole,Kenny Golladay,Kyle Rudolph,Ezekiel Elliott,Tampa Bay Buccaneers,141.454,49600
19754,Matthew Stafford,Bilal Powell,Todd Gurley,Marvin Jones,DeAndre Hopkins,Cole Beasley,Kyle Rudolph,Ezekiel Elliott,Tampa Bay Buccaneers,141.454,49800
19755,Joe Flacco,LeSean McCoy,Ezekiel Elliott,Golden Tate,Willie Snead,DeAndre Hopkins,Eric Ebron,Kenny Golladay,Carolina Panthers,141.454,50000
19756,Joe Flacco,Todd Gurley,LeSean McCoy,Jermaine Kearse,Robby Anderson,Keelan Cole,Eric Ebron,Ezekiel Elliott,Buffalo Bills,141.454,49800
19757,Jameis Winston,Kerryon Johnson,Ezekiel Elliott,Adam Thielen,Willie Snead,Robby Anderson,Eric Ebron,Kenny Golladay,Buffalo Bills,141.454,49700
19758,Matthew Stafford,Bilal Powell,Todd Gurley,Golden Tate,DeAndre Hopkins,Robby Anderson,Kyle Rudolph,Kenny Golladay,Buffalo Bills,141.454,49800
19759,Matthew Stafford,Kerryon Johnson,Todd Gurley,Jermaine Kearse,Adam Thielen,Willie Snead,Eric Ebron,Michael Crabtree,Tampa Bay Buccaneers,141.454,49600
