Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
RB,James Develin (11574031),James Develin,11574031,RB/FLEX,3000,NE@TEN 11/11/2018 01:00PM ET,NE,1.24
WR,Darius Jennings (11574279),Darius Jennings,11574279,WR/FLEX,3000,NE@TEN 11/11/2018 01:00PM ET,TEN,1.94
WR,Michael Campanaro (11574281),Michael Campanaro,11574281,WR/FLEX,3000,NE@TEN 11/11/2018 01:00PM ET,TEN,0
WR,Cameron Batson (11574283),Cameron Batson,11574283,WR/FLEX,3000,NE@TEN 11/11/2018 01:00PM ET,TEN,1.7
WR,Braxton Berrios (11574285),Braxton Berrios,11574285,WR/FLEX,3000,NE@TEN 11/11/2018 01:00PM ET,NE,0
WR,Matthew Slater (11574287),Matthew Slater,11574287,WR/FLEX,3000,NE@TEN 11/11/2018 01:00PM ET,NE,0
WR,Cody Hollister (11574289),Cody Hollister,11574289,WR/FLEX,3000,NE@TEN 11/11/2018 01:00PM ET,NE,0
RB,Shaun Wilson (11574033),Shaun Wilson,11574033,RB/FLEX,3000,WAS@TB 11/11/2018 01:00PM ET,TB,1.28
RB,Rob Kelley (11574035),Rob Kelley,11574035,RB/FLEX,3000,WAS@TB 11/11/2018 01:00PM ET,WAS,0.4
RB,Samaje Perine (11574037),Samaje Perine,11574037,RB/FLEX,3000,WAS@TB 11/11/2018 01:00PM ET,WAS,2
RB,Byron Marshall (11574039),Byron Marshall,11574039,RB/FLEX,3000,WAS@TB 11/11/2018 01:00PM ET,WAS,0
WR,Justin Watson (11574291),Justin Watson,11574291,WR/FLEX,3000,WAS@TB 11/11/2018 01:00PM ET,TB,0.3
WR,Jehu Chesson (11574293),Jehu Chesson,11574293,WR/FLEX,3000,WAS@TB 11/11/2018 01:00PM ET,WAS,0
WR,Brian Quick (11574295),Brian Quick,11574295,WR/FLEX,3000,WAS@TB 11/11/2018 01:00PM ET,WAS,0.96
DST,Redskins  (11574512),Redskins ,11574512,DST,3000,WAS@TB 11/11/2018 01:00PM ET,WAS,7.88
RB,Justin Davis (11574041),Justin Davis,11574041,RB/FLEX,3000,SEA@LAR 11/11/2018 04:25PM ET,LAR,0
RB,J.D. McKissic (11574043),J.D. McKissic,11574043,RB/FLEX,3000,SEA@LAR 11/11/2018 04:25PM ET,SEA,0
