,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,ATT_MAX,ATT_MIN,ATT_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Position
67,Phillip Dorsett,SEA,2.4,1.1,1.6,32.0,12.5,20.2,0.2,0.1,0.1,0.0,0.0,0.0,0.3,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,4.4,1.6,2.6,10,WR
68,Ryan Switzer,CLE,2.5,1.0,1.5,30.9,7.5,18.1,0.2,0.0,0.1,0.7,0.3,0.5,4.3,1.5,2.8,0.0,0.0,0.0,0.0,0.0,0.0,4.4,1.1,2.6,10,WR
69,JJ Nelson,BUF,2.1,0.1,1.5,35.0,0.9,21.0,0.2,0.0,0.1,0.3,0.0,0.1,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.2,0.1,4.1,0.1,2.6,10,WR
70,Auden Tate,CIN,1.8,0.6,1.2,27.5,8.0,16.8,0.2,0.1,0.1,0.1,0.0,0.0,0.8,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.0,4.0,1.4,2.4,10,WR
71,Cody Core,NYG,1.7,1.0,1.3,22.8,11.5,17.6,0.2,0.0,0.1,0.2,0.0,0.1,1.3,0.0,0.3,0.0,0.0,0.0,0.0,0.1,0.0,3.6,1.4,2.4,10,WR
72,Dontrelle Inman,WAS,2.5,1.1,1.7,26.7,13.0,19.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3,1.8,2.4,10,WR
73,Corey Coleman,NYG,1.6,1.0,1.3,21.6,13.2,17.4,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,2.8,1.9,2.4,10,WR
74,Allen Hurns,MIA,2.4,1.0,1.5,30.0,10.0,18.2,0.1,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,1.0,2.3,10,WR
75,Trent Taylor,SF,2.0,0.8,1.7,20.0,8.2,16.2,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.8,2.2,10,WR
76,Breshad Perriman,NYJ,2.2,0.4,1.2,26.8,5.6,15.2,0.2,0.0,0.1,0.4,0.0,0.2,3.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.6,2.2,10,WR
77,Jordan Matthews,SF,1.4,0.5,1.1,24.3,6.0,17.3,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.8,2.2,10,WR
78,Austin Carr,NO,1.5,1.0,1.2,19.8,11.6,15.4,0.2,0.0,0.1,0.1,0.0,0.0,0.4,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,3.2,1.2,2.1,10,WR
79,James Washington,PIT,1.5,0.9,1.2,20.3,11.8,15.2,0.2,0.0,0.1,0.0,0.0,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,3.2,1.4,2.1,10,WR
80,Travis Benjamin,SF,1.6,0.3,1.0,25.2,2.5,13.5,0.1,0.0,0.1,0.8,0.0,0.5,5.3,0.2,3.5,0.0,0.0,0.0,0.0,0.1,0.0,3.6,0.2,2.0,10,WR
81,Josh Reynolds,LAR,1.6,0.3,0.8,23.3,3.0,11.4,0.2,0.0,0.1,0.3,0.0,0.1,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,3.6,0.4,1.6,10,WR
82,Jaron Brown,ARI,0.9,0.4,0.7,13.0,5.1,9.3,0.1,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.9,1.4,10,WR
83,Andre Roberts,BUF,1.5,0.2,0.9,17.0,2.2,10.1,0.1,0.0,0.0,0.3,0.0,0.1,3.7,0.0,0.9,0.1,0.0,0.0,0.0,0.0,0.0,2.3,0.2,1.4,10,WR
