,Position,Name + ID,Player,ID,Roster Position,Salary,Game Info,Team,AvgPointsPerGame
183,RB,Patrick Taylor (15751598),Patrick Taylor,15751598.0,RB/FLEX,4000.0,JAX@GB 11/15/2020 01:00PM ET,GB,0.0
184,WR,Allen Lazard (15751742),Allen Lazard,15751742.0,WR/FLEX,4000.0,JAX@GB 11/15/2020 01:00PM ET,GB,18.37
185,QB,John Wolford (15751394),John Wolford,15751394.0,QB,4000.0,SEA@LAR 11/15/2020 04:25PM ET,LAR,0.0
186,RB,Travis Homer (15751572),Travis Homer,15751572.0,RB/FLEX,4000.0,SEA@LAR 11/15/2020 04:25PM ET,SEA,3.49
187,RB,Alex Collins (15751574),Alex Collins,15751574.0,RB/FLEX,4000.0,SEA@LAR 11/15/2020 04:25PM ET,SEA,0.5
188,RB,Rashaad Penny (15751576),Rashaad Penny,15751576.0,RB/FLEX,4000.0,SEA@LAR 11/15/2020 04:25PM ET,SEA,0.0
189,RB,Nick Bellore (15751578),Nick Bellore,15751578.0,RB/FLEX,4000.0,SEA@LAR 11/15/2020 04:25PM ET,SEA,0.8
190,RB,Xavier Jones (15751580),Xavier Jones,15751580.0,RB/FLEX,4000.0,SEA@LAR 11/15/2020 04:25PM ET,LAR,0.0
191,RB,Raymond Calais (15751582),Raymond Calais,15751582.0,RB/FLEX,4000.0,SEA@LAR 11/15/2020 04:25PM ET,LAR,0.0
192,QB,Chris Streveler (15751396),Chris Streveler,15751396.0,QB,4000.0,BUF@ARI 11/15/2020 04:05PM ET,ARI,0.3
193,QB,Brett Hundley (15751403),Brett Hundley,15751403.0,QB,4000.0,BUF@ARI 11/15/2020 04:05PM ET,ARI,0.0
194,QB,Jake Fromm (15751404),Jake Fromm,15751404.0,QB,4000.0,BUF@ARI 11/15/2020 04:05PM ET,BUF,0.0
