QB,RB1,RB2,WR1,WR2,WR3,TE,Flex,DST,Salary,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX,Draft Kings_MIN_Rank,Draft Kings_MID_Rank,Draft Kings_MAX_Rank,Raw Rank,Final Rank
Justin Herbert (15751354),Mike Davis (15751496),Aaron Jones (15751412),Davante Adams (15751638),Jakeem Grant (15751800),DeVante Parker (15751706),Darren Waller (15751946),James Robinson (15751420),Lions  (15752142),49800.0,113.0704285714286,151.86185714285716,200.70857142857142,980,450,892,2322,346
Tom Brady (15751356),Mike Davis (15751496),Aaron Jones (15751412),Davante Adams (15751638),Terry McLaurin (15751652),DeVante Parker (15751706),Austin Hooper (15751968),DJ Moore (15751702),Lions  (15752142),49800.0,110.82242857142857,151.85685714285714,195.00057142857142,3056,451,2917,6424,1574
Derek Carr (15751367),Mike Davis (15751496),Aaron Jones (15751412),Davante Adams (15751638),Terry McLaurin (15751652),DeVante Parker (15751706),Austin Hooper (15751968),James Robinson (15751420),Rams  (15752149),50000.0,111.83142857142859,151.8537142857143,201.17199999999997,1908,452,771,3131,570
Derek Carr (15751367),Mike Davis (15751496),Aaron Jones (15751412),Davante Adams (15751638),Terry McLaurin (15751652),DeVante Parker (15751706),Austin Hooper (15751968),Robby Anderson (15751670),Lions  (15752142),49900.0,113.3814285714286,151.85085714285714,198.4005714285714,807,453,1513,2773,467
Justin Herbert (15751354),Mike Davis (15751496),D'Andre Swift (15751460),Keenan Allen (15751648),Robby Anderson (15751670),DJ Moore (15751702),Darren Waller (15751946),Stefon Diggs (15751644),Rams  (15752149),49600.0,114.48042857142858,151.84971428571427,204.13,396,454,300,1150,110
Justin Herbert (15751354),Mike Davis (15751496),Alvin Kamara (15751410),Keenan Allen (15751648),Terry McLaurin (15751652),Stefon Diggs (15751644),Austin Hooper (15751968),Keelan Cole (15751772),Rams  (15752149),49700.0,110.49042857142858,151.8397142857143,204.04,3506,455,312,4273,878
Tom Brady (15751356),Mike Davis (15751496),Duke Johnson (15751464),Davante Adams (15751638),Terry McLaurin (15751652),Keelan Cole (15751772),Darren Waller (15751946),Aaron Jones (15751412),Rams  (15752149),49700.0,107.88242857142858,151.83971428571428,199.56199999999998,7606,456,1177,9239,2432
Justin Herbert (15751354),Mike Davis (15751496),Aaron Jones (15751412),Davante Adams (15751638),DeVante Parker (15751706),DJ Moore (15751702),Austin Hooper (15751968),James Robinson (15751420),Rams  (15752149),49500.0,110.59042857142859,151.83471428571428,199.92,3373,457,1073,4903,1090
Derek Carr (15751367),Mike Davis (15751496),D'Andre Swift (15751460),Keenan Allen (15751648),Davante Adams (15751638),Jakeem Grant (15751800),Darren Waller (15751946),Alvin Kamara (15751410),Rams  (15752149),49900.0,114.88142857142857,151.83371428571425,200.09199999999998,284,458,1025,1767,231
Justin Herbert (15751354),Mike Davis (15751496),Duke Johnson (15751464),Davante Adams (15751638),Jakeem Grant (15751800),Stefon Diggs (15751644),Darren Waller (15751946),James Robinson (15751420),Rams  (15752149),49800.0,111.73042857142858,151.8297142857143,207.17000000000002,2024,459,82,2565,411
Tom Brady (15751356),Mike Davis (15751496),Duke Johnson (15751464),Keenan Allen (15751648),Davante Adams (15751638),Robby Anderson (15751670),Darren Waller (15751946),Danny Amendola (15751746),Rams  (15752149),49500.0,114.53242857142858,151.8297142857143,200.412,380,460,954,1794,235
Justin Herbert (15751354),Mike Davis (15751496),Miles Sanders (15751424),Keenan Allen (15751648),Terry McLaurin (15751652),DeVante Parker (15751706),Austin Hooper (15751968),Stefon Diggs (15751644),Lions  (15752142),49900.0,113.25042857142857,151.82685714285716,205.25857142857143,869,461,192,1522,183
Justin Herbert (15751354),Mike Davis (15751496),Duke Johnson (15751464),Davante Adams (15751638),Jakeem Grant (15751800),Robby Anderson (15751670),Darren Waller (15751946),Stefon Diggs (15751644),Lions  (15752142),49700.0,113.28042857142857,151.82685714285714,204.39857142857144,851,462,270,1583,196
Tom Brady (15751356),Mike Davis (15751496),Duke Johnson (15751464),Davante Adams (15751638),Terry McLaurin (15751652),DJ Moore (15751702),Austin Hooper (15751968),Stefon Diggs (15751644),Rams  (15752149),49800.0,109.48242857142857,151.8247142857143,201.462,4949,463,710,6122,1473
Justin Herbert (15751354),Mike Davis (15751496),D'Andre Swift (15751460),Davante Adams (15751638),DeVante Parker (15751706),Stefon Diggs (15751644),Austin Hooper (15751968),Josh Jacobs (15751422),Rams  (15752149),49800.0,111.53042857142857,151.8197142857143,205.20999999999998,2208,464,195,2867,497
