Player,Team,Position,Salary,Name + ID,AvgPointsPerGame,Draft Kings_MIN,Draft Kings_MID,Draft Kings_MAX,Dynasty_MIN,Dynasty_MID,Dynasty_MAX,Redraft_MIN,Redraft_MID,Redraft_MAX,Draft Kings Value_MAX,Draft Kings Value_MID,Draft Kings Value_MIN,Draft Kings_MID_Rank,Draft Kings_MID_Tier,Draft Kings Value_MID_Rank,Draft Kings Value_MID_Tier,Min_Tier,Add_Tier
Austin Hooper,CLE,TE,3500.0,Austin Hooper (16006654) (LOCKED),8.32,6.4,9.32,11.000000000000002,4.8,7.5200000000000005,8.9,6.3,9.32,11.000000000000002,546.875,375.53648068669526,318.18181818181813,7,5,9,6,5,11
Vance McDonald,PIT,TE,3200.0,Vance McDonald (16006666) (LOCKED),1.84,5.530000000000001,8.15,10.0,4.13,6.6000000000000005,8.0,5.430000000000001,8.15,10.0,578.6618444846292,392.63803680981596,320.0,10,6,10,7,6,13
Ryan Griffin,NYJ,TE,2500.0,Ryan Griffin (16006746) (LOCKED),1.96,3.7300000000000004,5.41,7.2,2.8800000000000003,4.26,5.7,3.7300000000000004,5.41,7.2,670.2412868632707,462.1072088724584,347.22222222222223,12,8,11,8,8,16
Travis Kelce,KC,TE,8500.0,Travis Kelce (16006636) (LOCKED),22.12,15.320000000000002,18.11,21.724999999999998,12.370000000000001,15.01,17.79,15.220000000000002,18.11,21.29,554.8302872062662,469.3539480949752,391.25431530494825,1,1,12,8,1,9
Jets,NYJ,DST,2000.0,Jets  (16006830) (LOCKED),4.33,6.0285714285714285,6.742857142857143,8.299999999999999,7.6571428571428575,8.584857142857143,10.484,7.285714285714286,7.742857142857143,9.299999999999999,331.7535545023697,296.6101694915254,240.9638554216868,8,3,1,1,1,4
Jaguars,JAC,DST,2200.0,Jaguars  (16006829) (LOCKED),3.53,6.0285714285714285,7.2,8.914285714285713,9.075142857142858,10.478000000000002,12.178571428571427,7.685714285714285,8.6,9.942857142857143,364.92890995260666,305.55555555555554,246.79487179487182,3,3,2,1,1,4
Falcons,ATL,DST,1900.0,Falcons  (16006831) (LOCKED),4.87,4.914285714285714,6.128571428571429,6.685714285714285,3.9142857142857137,5.254857142857143,6.656571428571428,5.914285714285714,7.242857142857143,8.628571428571428,386.6279069767442,310.02331002331,284.18803418803424,14,6,3,1,1,7
Texans,HOU,DST,2800.0,Texans  (16006822) (LOCKED),3.2,7.571428571428571,8.514285714285714,10.485714285714284,10.471857142857145,11.940571428571428,13.965714285714284,9.914285714285715,10.142857142857142,11.485714285714284,369.811320754717,328.8590604026846,267.02997275204365,1,1,4,1,1,2
Cowboys,DAL,DST,2400.0,Cowboys  (16006826) (LOCKED),4.8,5.214285714285714,6.671428571428572,8.27142857142857,5.214285714285714,7.256428571428571,9.44142857142857,6.214285714285714,7.671428571428571,9.27142857142857,460.2739726027397,359.7430406852248,290.1554404145078,9,4,5,2,2,6
Bengals,CIN,DST,2300.0,Bengals  (16006828) (LOCKED),3.13,5.042857142857143,6.071428571428573,7.800000000000002,5.102857142857143,6.446428571428573,8.49,6.042857142857143,7.071428571428573,8.8,456.09065155807366,378.82352941176464,294.8717948717948,15,6,6,3,3,9
