,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,ATT_MAX,ATT_MIN,ATT_MID,YDS.1_MAX,YDS.1_MIN,YDS.1_MID,TDS.1_MAX,TDS.1_MIN,TDS.1_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
27,Chris Godwin,TB,102.0,71.0,81.0,1190.0,849.0,940.9,8.2,4.9,6.4,4.0,0.0,2.2,24.2,0.0,12.0,1.0,0.0,0.3,0.0,2.0,0.9,163.1,117.7,133.2,draft,2022,WR
28,Elijah Moore,NYJ,87.0,55.0,70.0,1126.0,747.0,904.4,7.0,4.7,5.8,9.6,3.0,6.2,92.0,21.0,50.8,2.0,0.0,0.5,0.0,1.0,0.5,137.9,118.6,132.4,draft,2022,WR
29,Marquise Brown,ARI,92.0,48.4,75.0,1254.0,648.9,963.3,8.0,2.9,5.7,4.6,0.0,2.0,31.0,0.0,12.9,0.3,0.0,0.1,0.0,1.0,0.6,145.9,83.2,130.9,draft,2022,WR
30,Adam Thielen,MIN,83.0,69.0,74.0,944.2,774.9,838.5,11.0,6.8,7.8,2.0,0.0,0.4,6.0,0.0,1.2,0.0,0.0,0.0,0.0,1.0,0.5,146.1,119.8,129.8,draft,2022,WR
31,Amari Cooper,CLE,86.5,66.0,75.2,1102.6,856.0,945.1,7.2,5.0,5.8,1.0,0.0,0.2,3.0,0.0,0.6,0.0,0.0,0.0,0.0,1.0,0.5,159.6,117.9,128.6,draft,2022,WR
32,JuJu Smith-Schuster,KC,93.0,70.4,78.5,1032.0,690.4,854.0,9.0,3.8,6.6,5.0,0.0,2.3,26.4,0.0,11.5,2.0,0.0,0.5,0.1,1.0,0.5,135.7,103.7,127.5,draft,2022,WR
33,Allen Robinson,LAR,85.6,59.6,75.6,1045.0,751.9,917.1,8.0,3.2,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,145.2,94.3,126.9,draft,2022,WR
34,Hunter Renfrow,LV,99.9,76.0,82.9,1059.4,805.3,884.7,7.3,5.0,6.3,4.0,0.0,1.2,23.2,0.0,5.0,0.2,0.0,0.0,0.0,1.0,0.6,151.4,115.6,125.9,draft,2022,WR
35,Robert Woods,TEN,82.1,65.3,72.8,1047.8,777.0,862.1,5.9,3.9,5.0,22.0,0.0,8.9,160.0,0.0,61.2,2.0,0.0,0.7,0.1,1.0,0.5,151.2,104.3,125.3,draft,2022,WR
36,Rashod Bateman,BAL,81.6,62.4,73.5,1090.0,725.1,931.9,6.7,4.1,5.0,1.0,0.0,0.2,11.0,0.0,2.2,0.0,0.0,0.0,0.0,1.0,0.5,139.8,97.3,122.7,draft,2022,WR
37,DeVonta Smith,PHI,71.4,53.0,62.8,949.0,744.0,863.3,7.0,4.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,136.9,98.4,119.1,draft,2022,WR
38,Chase Claypool,PIT,69.0,59.4,63.8,966.0,724.5,852.3,7.0,4.0,4.6,15.0,0.0,8.7,83.0,0.0,52.4,0.6,0.0,0.2,0.1,1.0,0.5,126.1,100.7,118.4,draft,2022,WR
39,Brandon Aiyuk,SF,68.0,58.0,61.7,992.2,749.4,837.9,6.0,5.0,5.5,5.0,0.0,2.9,25.0,0.0,17.4,0.1,0.0,0.0,0.0,1.0,0.5,133.9,107.6,117.5,draft,2022,WR
40,Treylon Burks,TEN,64.0,54.0,58.7,975.0,732.8,834.8,7.0,4.0,5.0,10.0,0.0,4.0,69.0,0.0,25.8,1.0,0.0,0.3,0.0,2.0,0.8,121.3,101.3,116.2,draft,2022,WR
41,Allen Lazard,GB,59.9,52.5,56.4,861.0,673.2,760.6,9.0,4.6,6.6,4.0,0.0,1.4,35.0,0.0,12.3,0.2,0.0,0.0,0.0,1.0,0.4,130.8,99.9,116.1,draft,2022,WR
42,Christian Kirk,JAC,83.0,61.0,71.3,971.0,825.9,873.3,5.0,4.0,4.6,2.0,0.0,0.8,18.0,0.0,5.8,0.0,0.0,0.0,0.0,1.0,0.5,128.9,111.4,114.4,draft,2022,WR
43,Drake London,ATL,76.0,51.1,65.5,946.0,673.8,863.7,6.0,4.0,4.7,3.0,0.0,0.8,12.0,0.0,4.2,0.0,0.0,0.0,0.0,2.0,0.8,118.5,94.1,113.5,draft,2022,WR
44,Mecole Hardman,KC,88.5,43.0,58.3,1047.6,510.1,734.5,6.0,3.0,4.7,10.7,5.0,8.4,75.0,40.0,58.9,1.0,0.0,0.4,0.3,2.0,1.0,165.8,81.4,107.8,draft,2022,WR
45,DeAndre Hopkins,ARI,75.0,46.7,58.9,980.0,654.3,748.0,7.0,4.5,5.5,0.0,0.0,0.0,2.0,0.0,0.4,0.0,0.0,0.0,0.0,1.0,0.5,115.6,92.4,106.7,draft,2022,WR
46,Kenny Golladay,NYG,66.0,47.5,56.0,946.0,593.4,792.0,7.0,2.8,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,112.1,76.0,105.4,draft,2022,WR
47,Marquez Valdes-Scantling,KC,61.3,38.6,46.1,909.8,657.0,749.6,5.4,4.0,4.9,1.8,0.0,0.6,10.8,0.0,3.2,0.1,0.0,0.0,0.0,0.3,0.1,123.3,95.7,104.7,draft,2022,WR
48,Kadarius Toney,NYG,71.6,44.5,65.1,856.0,477.4,754.8,6.0,2.7,3.9,16.0,3.0,8.8,105.0,21.0,59.6,0.5,0.0,0.1,0.0,1.0,0.5,118.2,66.6,104.3,draft,2022,WR
49,Jakobi Meyers,NE,88.0,60.0,72.9,999.0,678.8,822.3,5.3,3.0,3.8,1.0,0.0,0.4,9.0,0.0,2.8,0.0,0.0,0.0,0.0,1.0,0.5,119.8,89.1,104.1,draft,2022,WR
50,DeVante Parker,NE,63.8,50.5,56.6,945.0,655.0,757.1,6.0,4.0,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,130.5,92.5,103.3,draft,2022,WR
51,Russell Gage,TB,79.0,49.9,64.1,874.0,559.2,727.8,7.0,3.0,5.2,1.0,0.0,0.2,4.0,0.0,0.8,0.0,0.0,0.0,0.0,2.0,0.9,129.8,81.8,102.1,draft,2022,WR
52,Tyler Boyd,CIN,69.0,57.7,64.1,793.0,674.6,740.0,4.8,4.0,4.2,4.3,0.0,2.7,30.0,0.0,19.0,0.1,0.0,0.0,0.0,1.0,0.5,106.3,92.8,100.4,draft,2022,WR
53,Michael Gallup,DAL,63.1,40.0,49.7,899.7,579.0,701.0,5.8,4.0,4.8,10.2,0.0,2.0,71.0,0.0,14.2,0.0,0.0,0.0,0.0,1.0,0.4,121.6,81.9,99.7,draft,2022,WR
54,Jarvis Landry,NO,74.0,46.0,59.3,859.0,616.0,713.4,5.0,3.6,4.3,6.0,0.0,3.0,30.0,0.0,16.5,1.0,0.0,0.3,0.0,1.0,0.6,114.6,85.6,98.9,draft,2022,WR
55,Chris Olave,NO,60.2,44.0,50.3,853.5,602.2,718.2,5.6,3.6,4.6,2.0,0.0,0.4,11.0,0.0,2.2,0.0,0.0,0.0,0.0,1.0,0.5,118.4,85.1,98.5,draft,2022,WR
56,Robbie Anderson,CAR,64.0,52.5,57.7,824.9,571.7,681.2,7.0,3.4,4.7,4.6,2.9,3.7,32.0,15.0,24.6,0.2,0.0,0.1,0.0,1.0,0.4,111.4,79.5,98.4,draft,2022,WR
57,Garrett Wilson,NYJ,67.3,44.0,53.7,869.8,637.0,731.9,5.3,3.6,4.1,4.8,0.0,1.8,43.0,0.0,13.2,0.1,0.0,0.0,0.0,2.0,0.8,119.8,89.9,97.6,draft,2022,WR
58,Marvin Jones,JAC,69.0,43.1,56.0,793.3,542.3,675.4,7.0,3.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,121.0,73.5,95.2,draft,2022,WR
59,DJ Chark,DET,66.0,32.0,46.7,850.0,486.0,659.1,6.0,3.0,4.6,1.0,0.0,0.2,8.0,0.0,1.6,0.0,0.0,0.0,0.0,0.3,0.1,104.8,66.6,93.4,draft,2022,WR
