,Player,Team,REC_MAX,REC_MIN,REC_MID,YDS_MAX,YDS_MIN,YDS_MID,TDS_MAX,TDS_MIN,TDS_MID,FL_MAX,FL_MIN,FL_MID,FPTS_MAX,FPTS_MIN,FPTS_MID,Week,Year,Position
15,Pat Freiermuth,PIT,66.0,60.0,62.7,668.0,535.0,579.6,8.0,3.7,4.8,0.0,1.0,0.5,101.5,78.0,85.5,draft,2022,TE
16,Cole Kmet,CHI,76.0,46.5,60.8,783.0,486.7,632.8,5.0,3.0,3.7,0.0,1.0,0.5,91.7,67.8,84.8,draft,2022,TE
17,Irv Smith,MIN,53.8,46.0,50.4,653.3,490.0,556.7,5.1,3.0,4.5,0.0,0.4,0.1,93.6,78.1,82.5,draft,2022,TE
18,Gerald Everett,LAC,69.5,46.0,55.0,738.0,482.0,567.0,5.0,4.0,4.5,0.0,2.0,0.9,105.0,72.2,82.3,draft,2022,TE
19,Robert Tonyan,GB,48.9,43.0,45.8,590.4,483.0,520.5,5.0,4.0,4.5,0.0,0.3,0.1,85.2,75.1,78.9,draft,2022,TE
20,Albert Okwuegbunam,DEN,56.6,39.3,49.4,574.0,416.2,509.4,6.0,2.7,4.7,0.0,2.0,0.8,87.4,57.6,77.4,draft,2022,TE
21,Logan Thomas,WAS,53.0,35.9,48.6,567.0,383.8,508.0,6.0,3.5,4.5,0.0,1.0,0.4,88.9,60.6,77.0,draft,2022,TE
22,Evan Engram,JAC,60.0,48.0,52.7,630.0,474.9,541.6,4.0,2.8,3.5,0.0,1.0,0.4,79.0,66.3,74.6,draft,2022,TE
23,Austin Hooper,TEN,63.0,37.3,50.9,566.0,404.8,497.5,6.0,2.4,4.1,0.0,1.0,0.4,91.9,55.0,73.2,draft,2022,TE
24,Hayden Hurst,CIN,51.6,37.6,42.0,531.7,365.3,441.2,5.0,3.0,4.0,0.0,1.0,0.5,78.0,55.6,67.1,draft,2022,TE
25,Mo Alie-Cox,IND,40.0,28.0,34.9,494.0,369.0,422.1,4.2,2.0,3.2,0.0,0.3,0.1,68.8,50.6,61.4,draft,2022,TE
26,Brevin Jordan,HOU,49.0,32.1,41.3,543.0,352.9,418.0,4.0,2.3,2.9,0.0,0.3,0.1,63.8,49.3,59.1,draft,2022,TE
27,Adam Trautman,NO,41.6,31.1,36.1,505.1,325.7,374.4,4.0,2.0,2.8,0.0,1.0,0.4,71.0,45.6,53.7,draft,2022,TE
28,Kyle Rudolph,TB,45.0,21.0,33.2,465.0,231.0,331.5,5.0,1.4,3.2,0.0,0.2,0.1,70.5,35.1,52.5,draft,2022,TE
29,CJ Uzomah,NYJ,46.0,23.7,36.9,472.3,228.0,365.1,3.5,1.7,2.6,0.0,0.1,0.0,64.4,32.9,52.3,draft,2022,TE
30,Cameron Brate,TB,51.3,16.2,34.3,477.4,143.8,317.4,4.0,1.9,3.1,0.0,0.2,0.1,72.0,25.9,50.2,draft,2022,TE
31,Andrew Beck,DEN,27.9,27.9,27.9,295.3,295.3,295.3,2.9,2.9,2.9,0.0,0.0,0.0,47.0,47.0,46.6,draft,2022,TE
32,Jonnu Smith,NE,37.0,16.9,29.3,402.0,154.9,312.7,3.1,1.1,2.4,0.0,0.2,0.1,59.2,26.4,45.3,draft,2022,TE
33,Harrison Bryant,CLE,37.0,21.5,28.8,393.0,224.9,305.2,5.0,1.6,2.4,0.0,1.0,0.4,65.9,31.9,44.3,draft,2022,TE
34,Dan Arnold,JAC,34.7,21.0,27.9,411.1,247.0,328.6,2.5,1.0,1.9,0.0,1.0,0.5,55.6,35.5,43.6,draft,2022,TE
35,Paul Quessenberry,HOU,37.0,37.0,37.0,334.0,334.0,334.0,2.0,2.0,2.0,1.0,1.0,1.0,45.4,45.4,43.4,draft,2022,TE
36,Tyler Conklin,NYJ,44.0,24.0,32.5,448.0,232.0,313.8,2.7,1.5,2.0,0.0,0.2,0.1,56.8,37.5,43.0,draft,2022,TE
37,Tommy Tremble,CAR,38.0,16.4,27.6,404.0,163.3,281.8,4.0,1.3,2.2,0.0,0.3,0.1,54.0,24.1,41.0,draft,2022,TE
