,Unnamed: 0,Position,Name + ID,Player,ID,Roster Position,Salary,Game Info,Team,AvgPointsPerGame
267,267,TE,Harrison Bryant (15677667),Harrison Bryant,15677667.0,TE/FLEX,3200.0,LV@CLE 11/01/2020 01:00PM ET,CLE,6.09
268,268,TE,Dawson Knox (15677665),Dawson Knox,15677665.0,TE/FLEX,3200.0,NE@BUF 11/01/2020 01:00PM ET,BUF,3.58
269,269,WR,Denzel Mims (15677455),Denzel Mims,15677455.0,WR/FLEX,3200.0,NYJ@KC 11/01/2020 01:00PM ET,NYJ,8.2
270,270,DST,Seahawks  (15677812),Seahawks,15677812.0,DST,3200.0,SF@SEA 11/01/2020 04:25PM ET,SEA,5.33
271,271,DST,Colts  (15677814),Colts,15677814.0,DST,3100.0,IND@DET 11/01/2020 01:00PM ET,IND,11.17
272,272,DST,Patriots  (15677813),Patriots,15677813.0,DST,3100.0,NE@BUF 11/01/2020 01:00PM ET,NE,7.83
273,273,WR,Demarcus Robinson (15677457),Demarcus Robinson,15677457.0,WR/FLEX,3100.0,NYJ@KC 11/01/2020 01:00PM ET,KC,4.38
274,274,WR,Isaiah Ford (15677459),Isaiah Ford,15677459.0,WR/FLEX,3100.0,LAR@MIA 11/01/2020 01:00PM ET,MIA,6.88
275,275,WR,Josh Reynolds (15677461),Josh Reynolds,15677461.0,WR/FLEX,3100.0,LAR@MIA 11/01/2020 01:00PM ET,LAR,8.11
276,276,WR,David Moore (15677463),David Moore,15677463.0,WR/FLEX,3100.0,SF@SEA 11/01/2020 04:25PM ET,SEA,8.22
277,277,WR,Marcus Johnson (15677603),Marcus Johnson,15677603.0,WR/FLEX,3000.0,IND@DET 11/01/2020 01:00PM ET,IND,10.27
278,278,WR,Ashton Dulin (15677605),Ashton Dulin,15677605.0,WR/FLEX,3000.0,IND@DET 11/01/2020 01:00PM ET,IND,1.05
279,279,WR,Dezmon Patmon (15677607),Dezmon Patmon,15677607.0,WR/FLEX,3000.0,IND@DET 11/01/2020 01:00PM ET,IND,0.0
280,280,WR,Reece Fountain (15677609),Reece Fountain,15677609.0,WR/FLEX,3000.0,IND@DET 11/01/2020 01:00PM ET,IND,1.43
281,281,WR,Marvin Hall (15677611),Marvin Hall,15677611.0,WR/FLEX,3000.0,IND@DET 11/01/2020 01:00PM ET,DET,2.45
282,282,WR,Jamal Agnew (15677613),Jamal Agnew,15677613.0,WR/FLEX,3000.0,IND@DET 11/01/2020 01:00PM ET,DET,1.7
283,283,WR,Quintez Cephus (15677615),Quintez Cephus,15677615.0,WR/FLEX,3000.0,IND@DET 11/01/2020 01:00PM ET,DET,3.92
284,284,WR,K.J. Hill (15677587),KJ Hill,15677587.0,WR/FLEX,3000.0,LAC@DEN 11/01/2020 04:05PM ET,LAC,0.86
285,285,WR,Tyron Johnson (15677589),Tyron Johnson,15677589.0,WR/FLEX,3000.0,LAC@DEN 11/01/2020 04:05PM ET,LAC,4.67
286,286,WR,Joe Reed (15677591),Joe Reed,15677591.0,WR/FLEX,3000.0,LAC@DEN 11/01/2020 04:05PM ET,LAC,2.05
287,287,WR,Jason Moore (15677593),Jason Moore,15677593.0,WR/FLEX,3000.0,LAC@DEN 11/01/2020 04:05PM ET,LAC,0.0
288,288,WR,DaeSean Hamilton (15677595),DaeSean Hamilton,15677595.0,WR/FLEX,3000.0,LAC@DEN 11/01/2020 04:05PM ET,DEN,1.8
289,289,WR,Diontae Spencer (15677597),Diontae Spencer,15677597.0,WR/FLEX,3000.0,LAC@DEN 11/01/2020 04:05PM ET,DEN,0.52
290,290,WR,Tyrie Cleveland (15677599),Tyrie Cleveland,15677599.0,WR/FLEX,3000.0,LAC@DEN 11/01/2020 04:05PM ET,DEN,0.34
